Decade,Year,Winner,State
1950-1959,1957,J Sweet,SA
1950-1959,1958,LW Lock,SA
1950-1959,1959,LW Lock,SA
1950-1959,1950,M Nenghini,WA
1950-1959,1951,A Francis,WA
1950-1959,1952,S Heffernan,WA
1950-1959,1953,S McAskill,WA
1950-1959,1954,T Stokes,WA
1950-1959,1955,N Blurton,WA
1950-1959,1956,W Mellows,WA
1950-1959,1957,R Cochrane,WA
1950-1959,1958,C Collyer,WA
1950-1959,1959,K Richards,WA
1950-1959,1950,A Kidd,NQ
1950-1959,1951,A Duncan,NQ
1950-1959,1952,R Fisher,NQ
1950-1959,1953,N McLennan,NQ
1950-1959,1954,H Ryder,NQ
1950-1959,1955,G Perrin,NQ
1950-1959,1956,G Abel,NQ
1950-1959,1957,G Perrin,NQ
1950-1959,1958,J Drever,NQ
1950-1959,1959,G Perrin,NQ
1950-1959,1950,NA,NT
1950-1959,1951,NA,NT
1950-1959,1952,NA,NT
1950-1959,1953,NA,NT
1950-1959,1954,NA,NT
1950-1959,1955,NA,NT
1950-1959,1956,NA,NT
1950-1959,1957,NA,NT
1950-1959,1958,NA,NT
1950-1959,1959,NA,NT
1950-1959,1950,NA,BISLEY
1950-1959,1951,NA,BISLEY
1950-1959,1952,NA,BISLEY
1950-1959,1953,NA,BISLEY
1950-1959,1954,NA,BISLEY
1950-1959,1955,NA,BISLEY
1950-1959,1956,NA,BISLEY
1950-1959,1957,NA,BISLEY
1950-1959,1958,NA,BISLEY
1950-1959,1959,NA,BISLEY
1960-1969,1960,J Kirkwood,NSW
1960-1969,1961,D Watson,NSW
1960-1969,1962,F Duncan,NSW
1960-1969,1963,R Dean,NSW
1960-1969,1964,N Irving,NSW
1960-1969,1965,D Gibbs,NSW
1960-1969,1966,J Carman,NSW
1960-1969,1967,F Duncan,NSW
1960-1969,1968,K Kennedy,NSW
1960-1969,1969,T Carter,NSW
1960-1969,1960,J Simpson,VIC
1960-1969,1961,L Hair,VIC
1960-1969,1962,G Natt,VIC
1960-1969,1963,J Kirkwood,VIC
1960-1969,1964,J Enderlin,VIC
1960-1969,1965,D Hirth,VIC
1960-1969,1966,R Wasley,VIC
1960-1969,1967,J Alley,VIC
1960-1969,1968,P Hallett,VIC
1960-1969,1969,N Helmore,VIC
1960-1969,1960,A James,QLD
1960-1969,1961,D Williams,QLD
1960-1969,1962,C Moss,QLD
1960-1969,1963,P Gartner,QLD
1960-1969,1964,A Burling,QLD
1960-1969,1965,W Hogarth,QLD
1960-1969,1966,J Carman,QLD
1960-1969,1967,NA,QLD
1960-1969,1968,L Scott,QLD
1960-1969,1969,W Smith,QLD
1960-1969,1960,R Laing,TAS
1960-1969,1961,E Harvey,TAS
1960-1969,1962,E Thompson,TAS
1960-1969,1963,B Johnston,TAS
1960-1969,1964,B Johnston,TAS
1960-1969,1965,M Friend,TAS
1960-1969,1966,J Bartlett,TAS
1960-1969,1967,D Bottle,TAS
1960-1969,1968,R Braithwaite,TAS
1960-1969,1969,B Johnston,TAS
1960-1969,1960,LW Lock,SA
1960-1969,1961,ML Friend,SA
1960-1969,1962,ML Friend,SA
1960-1969,1963,AL Hobbs,SA
1960-1969,1964,LJ Ward,SA
1960-1969,1965,LJ McInerney,SA
1960-1969,1966,AL Hobbs,SA
1960-1969,1967,ML Friend,SA
1960-1969,1968,KM Hunt,SA
1960-1969,1969,J Kirkwood,SA
1960-1969,1960,W Mellows,WA
1960-1969,1961,M Herbert,WA
1960-1969,1962,D Gibbs,WA
1960-1969,1963,N Milligan,WA
1960-1969,1964,C Ellis,WA
1960-1969,1965,T Stokes,WA
1960-1969,1966,C McColl,WA
1960-1969,1967,T Gilmore,WA
1960-1969,1968,J E Moore,WA
1960-1969,1969,S Connell,WA
1960-1969,1960,A James,NQ
1960-1969,1961,D Williams,NQ
1960-1969,1962,C Moss,NQ
1960-1969,1963,P Gartner,NQ
1960-1969,1964,A Burling,NQ
1960-1969,1965,W Hogarth,NQ
1960-1969,1966,J Carman,NQ
1960-1969,1967,NA,NQ
1960-1969,1968,L Scott,NQ
1960-1969,1969,W Smith,NQ
1960-1969,1960,NA,NT
1960-1969,1961,NA,NT
1960-1969,1962,NA,NT
1960-1969,1963,NA,NT
1960-1969,1964,NA,NT
1960-1969,1965,NA,NT
1960-1969,1966,NA,NT
1960-1969,1967,NA,NT
1960-1969,1968,NA,NT
1960-1969,1969,NA,NT
1960-1969,1960,NA,BISLEY
1960-1969,1961,NA,BISLEY
1960-1969,1962,NA,BISLEY
1960-1969,1963,NA,BISLEY
1960-1969,1964,NA,BISLEY
1960-1969,1965,NA,BISLEY
1960-1969,1966,NA,BISLEY
1960-1969,1967,NA,BISLEY
1960-1969,1968,NA,BISLEY
1960-1969,1969,NA,BISLEY
1970-1979,1970,G Okeeffe,NSW
1970-1979,1971,G Hahn,NSW
1970-1979,1972,NA,NSW
1970-1979,1973,J Pemberton,NSW
1970-1979,1974,J Killian,NSW
1970-1979,1975,J Percival,NSW
1970-1979,1976,B Doohan,NSW
1970-1979,1977,B Doohan,NSW
1970-1979,1978,G Hahn,NSW
1970-1979,1979,A Powell,NSW
1970-1979,1970,G Hahn,VIC
1970-1979,1971,G Berman,VIC
1970-1979,1972,B Wright,VIC
1970-1979,1973,P Hallett,VIC
1970-1979,1974,W Mitchell,VIC
1970-1979,1975,D Arnold,VIC
1970-1979,1976,G Berman,VIC
1970-1979,1977,S Golinski,VIC
1970-1979,1978,D Hirth,VIC
1970-1979,1979,S Dunstall,VIC
1970-1979,1970,D Cadden,QLD
1970-1979,1971,G Male,QLD
1970-1979,1972,R Hinkler,QLD
1970-1979,1973,W Smith,QLD
1970-1979,1974,A Burling,QLD
1970-1979,1975,L Felton,QLD
1970-1979,1976,M Hobbs,QLD
1970-1979,1977,G Kerr,QLD
1970-1979,1978,C Thiedeke,QLD
1970-1979,1979,H Griffiths,QLD
1970-1979,1970,M Dow,TAS
1970-1979,1971,E Thompson,TAS
1970-1979,1972,L McInerney,TAS
1970-1979,1973,J Reilly,TAS
1970-1979,1974,G Ayling,TAS
1970-1979,1975,T Moore,TAS
1970-1979,1976,G Ayling,TAS
1970-1979,1977,A Powell,TAS
1970-1979,1978,G Ayling,TAS
1970-1979,1979,G Ayling,TAS
1970-1979,1970,B Doohan,SA
1970-1979,1971,ML Friend,SA
1970-1979,1972,AD Alaway,SA
1970-1979,1973,A Obersby,SA
1970-1979,1974,E Thompson,SA
1970-1979,1975,G Kerr,SA
1970-1979,1976,J McDermott,SA
1970-1979,1977,S Dunstall,SA
1970-1979,1978,JA Bartlett,SA
1970-1979,1979,A Powell,SA
1970-1979,1970,R Herbert,WA
1970-1979,1971,S Hayes,WA
1970-1979,1972,H Standring,WA
1970-1979,1973,P Smeets,WA
1970-1979,1974,L Felton,WA
1970-1979,1975,L Davidson,WA
1970-1979,1976,J Sweet,WA
1970-1979,1977,S Connell,WA
1970-1979,1978,D Marsden,WA
1970-1979,1979,B Sheppard,WA
1970-1979,1970,E Townson,NQ
1970-1979,1971,J Dodds,NQ
1970-1979,1972,J Long,NQ
1970-1979,1973,K McLachlan,NQ
1970-1979,1974,L Neilsen,NQ
1970-1979,1975,W Smith,NQ
1970-1979,1976,R Stewart,NQ
1970-1979,1977,A Powell,NQ
1970-1979,1978,G Ayling,NQ
1970-1979,1979,W Smith,NQ
1970-1979,1970,NA,NAT
1970-1979,1971,NA,NAT
1970-1979,1972,R Richards-Mousley,NAT
1970-1979,1973,J Sweet,NAT
1970-1979,1974,LJ McInerney,NAT
1970-1979,1975,KN Sadler,NAT
1970-1979,1976,W Angel,NAT
1970-1979,1977,P Hallett,NAT
1970-1979,1978,G Ayling,NAT
1970-1979,1979,S Golinski,NAT
1970-1979,1970,NA,NT
1970-1979,1971,NA,NT
1970-1979,1972,NA,NT
1970-1979,1973,NA,NT
1970-1979,1974,NA,NT
1970-1979,1975,NA,NT
1970-1979,1976,NA,NT
1970-1979,1977,NA,NT
1970-1979,1978,NA,NT
1970-1979,1979,NA,NT
1970-1979,1970,NA,BISLEY
1970-1979,1971,NA,BISLEY
1970-1979,1972,NA,BISLEY
1970-1979,1973,NA,BISLEY
1970-1979,1974,NA,BISLEY
1970-1979,1975,NA,BISLEY
1970-1979,1976,NA,BISLEY
1970-1979,1977,NA,BISLEY
1970-1979,1978,R Graham,BISLEY
1970-1979,1979,NA,BISLEY
1980-89,1980,S Golinski,NSW
1980-89,1981,A Wright,NSW
1980-89,1982,P Robinson,NSW
1980-89,1983,B Bowden,NSW
1980-89,1984,I Griffiths,NSW
1980-89,1985,B Doohan,NSW
1980-89,1986,G Kerr,NSW
1980-89,1987,M Buchanan,NSW
1980-89,1988,J Dodson,NSW
1980-89,1989,R Rush,NSW
1980-89,1980,R Wade,VIC
1980-89,1981,P Robinson,VIC
1980-89,1982,J Brooker,VIC
1980-89,1983,G Ayling,VIC
1980-89,1984,P Bain,VIC
1980-89,1985,O Pattinson,VIC
1980-89,1986,J Johnston,VIC
1980-89,1987,L Neilsen,VIC
1980-89,1988,G Ayling,VIC
1980-89,1989,D Campbell,VIC
1980-89,1980,M Hobbs,QLD
1980-89,1981,G Ayling,QLD
1980-89,1982,B Bowden,QLD
1980-89,1983,J Reilly,QLD
1980-89,1984,S Golinski,QLD
1980-89,1985,G Kerr,QLD
1980-89,1986,R Rowlands,QLD
1980-89,1987,J Alexander,QLD
1980-89,1988,J Jacobs,QLD
1980-89,1989,K Golder,QLD
1980-89,1980,P Robinson,TAS
1980-89,1981,G Ayling,TAS
1980-89,1982,G Hahn,TAS
1980-89,1983,P Robinson,TAS
1980-89,1984,L Hawkins,TAS
1980-89,1985,R Negus,TAS
1980-89,1986,S Birrell,TAS
1980-89,1987,NA,TAS
1980-89,1988,W Heald,TAS
1980-89,1989,B Martin,TAS
1980-89,1980,A Powell,SA
1980-89,1981,W Freebairn,SA
1980-89,1982,G Harrison,SA
1980-89,1983,P Phillips,SA
1980-89,1984,C Thiedeke,SA
1980-89,1985,E Thompson,SA
1980-89,1986,J Wood,SA
1980-89,1987,P Robinson,SA
1980-89,1988,A Powell,SA
1980-89,1989,H Vreekamp,SA
1980-89,1980,D Marsden,WA
1980-89,1981,B Sheppard,WA
1980-89,1982,B Schlam,WA
1980-89,1983,L Fossilo,WA
1980-89,1984,C Walldrodt,WA
1980-89,1985,G Kerr,WA
1980-89,1986,R Scoones,WA
1980-89,1987,A Powell,WA
1980-89,1988,G Ayling,WA
1980-89,1989,D Campbell,WA
1980-89,1980,K McLachlan,NQ
1980-89,1981,G Hahn,NQ
1980-89,1982,C Condon,NQ
1980-89,1983,G Kerr,NQ
1980-89,1984,J Johnstone,NQ
1980-89,1985,G Kerr,NQ
1980-89,1986,G Kerr,NQ
1980-89,1987,L Neilsen,NQ
1980-89,1988,N Crawshaw,NQ
1980-89,1989,L Neilsen,NQ
1980-89,1980,R Negus,NAT
1980-89,1981,R Spillman,NAT
1980-89,1982,R Swindle,NAT
1980-89,1983,K Hills,NAT
1980-89,1984,R Courtney,NAT
1980-89,1985,J Corbett,NAT
1980-89,1986,S Golinski,NAT
1980-89,1987,G Crowe,NAT
1980-89,1988,Ron Parker,NAT
1980-89,1989,P Robinson,NAT
1980-89,1980,P Thompson,NT
1980-89,1981,NA,NT
1980-89,1982,P Hallett,NT
1980-89,1983,NA,NT
1980-89,1984,T Deed,NT
1980-89,1985,NA,NT
1980-89,1986,P Hallett,NT
1980-89,1987,NA,NT
1980-89,1988,D Campbell,NT
1980-89,1989,NA,NT
1980-89,1980,NA,BISLEY
1980-89,1981,G Ayling,BISLEY
1980-89,1982,NA,BISLEY
1980-89,1983,NA,BISLEY
1980-89,1984,NA,BISLEY
1980-89,1985,NA,BISLEY
1980-89,1986,NA,BISLEY
1980-89,1987,NA,BISLEY
1980-89,1988,NA,BISLEY
1980-89,1989,NA,BISLEY
1990-99,1990,J Brooker,NSW
1990-99,1991,C Wright,NSW
1990-99,1992,D Heald,NSW
1990-99,1993,R Rush,NSW
1990-99,1994,Miss W Hadfield,NSW
1990-99,1995,R Rush,NSW
1990-99,1996,P Schafferius,NSW
1990-99,1997,H Griffiths,NSW
1990-99,1998,M Buchanan,NSW
1990-99,1999,D Brinin,NSW
1990-99,1990,B Wood,VIC
1990-99,1991,G Grenfell,VIC
1990-99,1992,A Hobbs,VIC
1990-99,1993,A Powell,VIC
1990-99,1994,B Bowden,VIC
1990-99,1995,P Phillips,VIC
1990-99,1996,P Pearce,VIC
1990-99,1997,G Grenfell,VIC
1990-99,1998,J Ashton,VIC
1990-99,1999,J Davies,VIC
1990-99,1990,P Robinson,QLD
1990-99,1991,L La Tours,QLD
1990-99,1992,K Connor,QLD
1990-99,1993,I Cameron,QLD
1990-99,1994,T Moon,QLD
1990-99,1995,R Rush,QLD
1990-99,1996,P Schafferius,QLD
1990-99,1997,S Dunstall,QLD
1990-99,1998,R Rush,QLD
1990-99,1999,S Negus,QLD
1990-99,1990,P Robinson,TAS
1990-99,1991,J Wood,TAS
1990-99,1992,G Ayling,TAS
1990-99,1993,B Martin,TAS
1990-99,1994,B Martin,TAS
1990-99,1995,B Martin,TAS
1990-99,1996,A Halstead,TAS
1990-99,1997,G Grenfell,TAS
1990-99,1998,M Sweet,TAS
1990-99,1999,W Grenness,TAS
1990-99,1990,G Cavanagh,SA
1990-99,1991,K Dyason,SA
1990-99,1992,G Berman,SA
1990-99,1993,F.O Pinyon,SA
1990-99,1994,E Thompson,SA
1990-99,1995,A Powell,SA
1990-99,1996,B Martin,SA
1990-99,1997,P Pearce,SA
1990-99,1998,G Crowe,SA
1990-99,1999,G Berman,SA
1990-99,1990,P Gall,WA
1990-99,1991,D Campbell,WA
1990-99,1992,P Green,WA
1990-99,1993,G Hunter,WA
1990-99,1994,B Stubberfield,WA
1990-99,1995,L Horwood,WA
1990-99,1996,G Mann,WA
1990-99,1997,J Wagland,WA
1990-99,1998,E Thompson,WA
1990-99,1999,A Powell,WA
1990-99,1990,D Denman,NQ
1990-99,1991,T Moon,NQ
1990-99,1992,G Berman,NQ
1990-99,1993,J Schafferius,NQ
1990-99,1994,G Iszlaub,NQ
1990-99,1995,E Thompson,NQ
1990-99,1996,J Schafferius,NQ
1990-99,1997,H Griffiths,NQ
1990-99,1998,B Martin,NQ
1990-99,1999,H Griffiths,NQ
1990-99,1990,R Swindle,NAT
1990-99,1991,J Myles,NAT
1990-99,1992,D Matthews,NAT
1990-99,1993,T Moon,NAT
1990-99,1994,E Thompson,NAT
1990-99,1995,P Phillips,NAT
1990-99,1996,S Dunstall,NAT
1990-99,1997,S Dunstall,NAT
1990-99,1998,M Wood,NAT
1990-99,1999,J Corbett,NAT
1990-99,1990,G Ayling,NT
1990-99,1991,NA,NT
1990-99,1992,J Reither,NT
1990-99,1993,NA,NT
1990-99,1994,T Moon,NT
1990-99,1995,NA,NT
1990-99,1996,J Moore,NT
1990-99,1997,NA,NT
1990-99,1998,J Corbett,NT
1990-99,1999,NA,NT
1990-99,1990,NA,BISLEY
1990-99,1991,NA,BISLEY
1990-99,1992,NA,BISLEY
1990-99,1993,NA,BISLEY
1990-99,1994,NA,BISLEY
1990-99,1995,NA,BISLEY
1990-99,1996,NA,BISLEY
1990-99,1997,NA,BISLEY
1990-99,1998,NA,BISLEY
1990-99,1999,NA,BISLEY
2000-09,2000,S Dunstall,NSW
2000-09,2001,J Bailey,NSW
2000-09,2002,P Salamon,NSW
2000-09,2003,M Buchanan,NSW
2000-09,2004,J Corbett,NSW
2000-09,2005,M Buchanan,NSW
2000-09,2006,J Jeffery,NSW
2000-09,2007,M Thurtell,NSW
2000-09,2008,J Corbett,NSW
2000-09,2009,J Bailey,NSW
2000-09,2000,P Salamon,VIC
2000-09,2001,P Robinson,VIC
2000-09,2002,G Grenfell,VIC
2000-09,2003,J Corbett,VIC
2000-09,2004,P Salamon,VIC
2000-09,2005,J Corbett,VIC
2000-09,2006,G Grenfell,VIC
2000-09,2007,T Deed,VIC
2000-09,2008,Richard Jones,VIC
2000-09,2009,M Collings,VIC
2000-09,2000,K Lobwein,QLD
2000-09,2001,M Garcia,QLD
2000-09,2002,C Cole,QLD
2000-09,2003,R Rush,QLD
2000-09,2004,G Grenfell,QLD
2000-09,2005,J Corbett,QLD
2000-09,2006,C Cole,QLD
2000-09,2007,S Jacobs,QLD
2000-09,2008,M Buchanan,QLD
2000-09,2009,M Buchanan,QLD
2000-09,2000,J Corbett,TAS
2000-09,2001,W Grenness,TAS
2000-09,2002,R Pederson,TAS
2000-09,2003,P Salamon,TAS
2000-09,2004,M Wood,TAS
2000-09,2005,M Buchanan,TAS
2000-09,2006,J Blomfield,TAS
2000-09,2007,M Buchanan,TAS
2000-09,2008,J Corbett,TAS
2000-09,2009,J Corbett,TAS
2000-09,2000,S Dunstall,SA
2000-09,2001,Ray Jones,SA
2000-09,2002,E Thompson,SA
2000-09,2003,P Salamon,SA
2000-09,2004,R Pederson,SA
2000-09,2005,J Corbett,SA
2000-09,2006,B Bellchambers,SA
2000-09,2007,F.O Pinyon,SA
2000-09,2008,G Grenfell,SA
2000-09,2009,W Grenness,SA
2000-09,2000,G Robertson,WA
2000-09,2001,B Thompson,WA
2000-09,2002,J Moore,WA
2000-09,2003,D Felton,WA
2000-09,2004,J Corbett,WA
2000-09,2005,G Robertson,WA
2000-09,2006,J Moore,WA
2000-09,2007,D Felton,WA
2000-09,2008,J Corbett,WA
2000-09,2009,J Corbett,WA
2000-09,2000,W Grenness,NQ
2000-09,2001,W Grenness,NQ
2000-09,2002,P Schafferius,NQ
2000-09,2003,R Dyer,NQ
2000-09,2004,D Flynn,NQ
2000-09,2005,P Salamon,NQ
2000-09,2006,J Corbett,NQ
2000-09,2007,H Griffiths,NQ
2000-09,2008,M Buchanan,NQ
2000-09,2009,M Collings,NQ
2000-09,2000,T Doxford,NAT
2000-09,2001,J Corbett,NAT
2000-09,2002,P Salamon,NAT
2000-09,2003,P Salamon,NAT
2000-09,2004,C Cole,NAT
2000-09,2005,C Cole,NAT
2000-09,2006,C Garven,NAT
2000-09,2007,C Cole,NAT
2000-09,2008,M Buchanan,NAT
2000-09,2009,J Corbett,NAT
2000-09,2000,A Powell,NT
2000-09,2001,NA,NT
2000-09,2002,M Collings,NT
2000-09,2003,NA,NT
2000-09,2004,J Baxter,NT
2000-09,2005,NA,NT
2000-09,2006,F Baldwin,NT
2000-09,2007,NA,NT
2000-09,2008,R Dyer,NT
2000-09,2009,NA,NT
2000-09,2000,NA,ACT
2000-09,2001,NA,ACT
2000-09,2002,NA,ACT
2000-09,2003,NA,ACT
2000-09,2004,J Corbett,ACT
2000-09,2005,S Dunstall,ACT
2000-09,2006,W Grenness,ACT
2000-09,2007,J Corbett,ACT
2000-09,2008,A Bell,ACT
2000-09,2009,T Moon,ACT
2000-09,2000,NA,BISLEY
2000-09,2001,NA,BISLEY
2000-09,2002,NA,BISLEY
2000-09,2003,NA,BISLEY
2000-09,2004,NA,BISLEY
2000-09,2005,NA,BISLEY
2000-09,2006,NA,BISLEY
2000-09,2007,NA,BISLEY
2000-09,2008,NA,BISLEY
2010-19,2009,NA,BISLEY
2010-19,2010,S Negus,NSW
2010-19,2011,J Jeffery,NSW
2010-19,2012,S Negus,NSW
2010-19,2013,J Bailey,NSW
2010-19,2014,S Negus,NSW
2010-19,2015,J Bailey,NSW
2010-19,2016,J Corbett,NSW
2010-19,2017,NA,NSW
2010-19,2018,NA,NSW
2010-19,2019,NA,NSW
2010-19,2010,S Negus,VIC
2010-19,2011,J Bailey,VIC
2010-19,2012,J Corbett,VIC
2010-19,2013,D Brewster,VIC
2010-19,2014,M Pozzebon,VIC
2010-19,2015,G Grenfell,VIC
2010-19,2016,G Grenfell,VIC
2010-19,2017,NA,VIC
2010-19,2018,NA,VIC
2010-19,2019,NA,VIC
2010-19,2010,J Corbett,QLD
2010-19,2011,G Robertson,QLD
2010-19,2012,J Jeffery,QLD
2010-19,2013,C Cole,QLD
2010-19,2014,H Griffiths,QLD
2010-19,2015,P Thurtell,QLD
2010-19,2016,J Corbett,QLD
2010-19,2017,NA,QLD
2010-19,2018,NA,QLD
2010-19,2019,NA,QLD
2010-19,2010,J Corbett,TAS
2010-19,2011,J Corbett,TAS
2010-19,2012,J Hawkins,TAS
2010-19,2013,S Negus,TAS
2010-19,2014,M Teglasi,TAS
2010-19,2015,M Walters,TAS
2010-19,2016,S Negus,TAS
2010-19,2017,NA,TAS
2010-19,2018,NA,TAS
2010-19,2019,NA,TAS
2010-19,2010,F.O Pinyon,SA
2010-19,2011,J Stauwer,SA
2010-19,2012,J Corbett,SA
2010-19,2013,G Grenfell,SA
2010-19,2014,S Negus,SA
2010-19,2015,F.O Pinyon,SA
2010-19,2016,R Atkinson,SA
2010-19,2017,NA,SA
2010-19,2018,NA,SA
2010-19,2019,NA,SA
2010-19,2010,G Carlsen,WA
2010-19,2011,N Hughes,WA
2010-19,2012,D Martin,WA
2010-19,2013,J Moore,WA
2010-19,2014,M Forsberg,WA
2010-19,2015,G Craigie,WA
2010-19,2016,J Corbett,WA
2010-19,2017,NA,WA
2010-19,2018,NA,WA
2010-19,2019,NA,WA
2010-19,2010,J Corbett,NQ
2010-19,2011,H Griffiths,NQ
2010-19,2012,J Stauwer,NQ
2010-19,2013,J Bailey,NQ
2010-19,2014,J Bailey,NQ
2010-19,2015,J Bailey,NQ
2010-19,2016,B Emms,NQ
2010-19,2017,NA,NQ
2010-19,2018,NA,NQ
2010-19,2019,NA,NQ
2010-19,2010,B Litz,NAT
2010-19,2011,J Whidden,NAT
2010-19,2012,J Corbett,NAT
2010-19,2013,G Grenfell,NAT
2010-19,2014,G Grenfell,NAT
2010-19,2015,G Grenfell,NAT
2010-19,2016,J Corbett,NAT
2010-19,2017,NA,NAT
2010-19,2018,NA,NAT
2010-19,2019,NA,NAT
2010-19,2010,K Young,NT
2010-19,2011,NA,NT
2010-19,2012,J Baxter,NT
2010-19,2013,NA,NT
2010-19,2014,J Jeffery,NT
2010-19,2015,NA,NT
2010-19,2016,J Baxter,NT
2010-19,2017,NA,NT
2010-19,2018,NA,NT
2010-19,2019,NA,NT
2010-19,2010,S Dunstall,ACT
2010-19,2011,J Bailey,ACT
2010-19,2012,G Waddle,ACT
2010-19,2013,B Semmler,ACT
2010-19,2014,Ray Jones,ACT
2010-19,2015,P Thurtell,ACT
2010-19,2016,J Bailey,ACT
2010-19,2017,NA,ACT
2010-19,2018,NA,ACT
2010-19,2019,NA,ACT
2010-19,2010,NA,BISLEY
2010-19,2011,NA,BISLEY
2010-19,2012,NA,BISLEY
2010-19,2013,J Corbett,BISLEY
2010-19,2014,NA,BISLEY
2010-19,2015,NA,BISLEY
2010-19,2016,NA,BISLEY
2010-19,2017,NA,BISLEY
2010-19,2018,NA,BISLEY
2010-19,2019,NA,BISLEY
1980-89,1980,G Ayling,BAR
1980-89,1980,A Powell,WI
1980-89,1987,S Golinski,CAN
1990-99,1990,G Ayling,KEN
2000-09,2006,H Griffiths,BAR
1940-49,1949,S Kannar,NZ
1960-69,1966,J Caspers,NZ
1970-79,1972,J Cooper,NZ
1970-79,1979,K Golder,NZ
1980-89,1986,M Buchanan,NZ
1990-99,1991,G Berman,NZ
1990-99,1992,M Sweet,NZ
2000-09,2007,M Buchanan,NZ
2000-09,2009,D Rich,NZ
1970-79,1972,J Brooker,PNG
1990-1999,1998,R Rush,ZIM
1900-1909,1904,Pte WG Willoughby,CAN
2010-19,2017,J Bailey,NZ